id,user,created_at,text,,,fav,RT,follower,follows
1.33E+18,keikokansya,2020/11/7 19:51,JOC竹田会長が退任表明、IOC委員も辞任　招致の汚職疑惑は否定2019年3月20日  - BBCニュースhttps://t.co/8qQ2zkgiBS,1,,0,0,619,676
1.33E+18,afpbbcom,2020/11/7 18:30,ビジャ氏のセクハラ疑惑問題、元所属クラブが調査結果公表https://t.co/y30QRUp5Ldすでに現役を引退しているビジャ氏は、7月に疑惑を否定しており、この日も広報担当者を通じて「調査には全面的に協力した。しかし、最初から話している通り、これらの疑惑は完全に誤りだ」と再度反論した。,1,,0,1,537,1421
1.33E+18,yuya151515,2020/11/9 21:28,✅ 手越祐也が6月23日に開いた“緊急記者会見”で、ジャニーズ事務所上層部および「副社長滝沢秀明との確執」を完全否定した… https://t.co/DCCYVDqJAT,1,,0,0,995,960
1.33E+18,mottokorea,2020/11/10 6:09,Blackswanヘミの事務所、詐欺容疑を否定し法的対応を予告 - もっと! コリア (Motto! KOREA) https://t.co/E4qqS55GRu @mottokorea,1,,59,35,4524,2767
1.33E+18,gamekana,2020/11/8 22:40,【PS5】「ソニーは日本冷遇」望月報道をソニー広報完全否定「国内市場は最も重要」【人気記事】a09https://t.co/mIPgw6oRPM,1,,6,4,238,142
1.33E+18,miyumiuA,2020/11/8 4:57,休業の原幹恵、不倫デート報道を否定 (テレビ朝日) - LINEアカウントメディア https://t.co/sb498HBMtu,1,,0,0,36,1
1.33E+18,htmk73,2020/11/11 18:01,Xboxのフィル・スペンサー氏、日本のスタジオ買収報道を否定「興味がないわけじゃないけど…」https://t.co/FIhGW09oDJ,1,,1,0,233,378
1.33E+18,Utakayaman,2020/11/8 23:23,トランプをあんなに否定するなら、クリーンに勝っていこうぜ。民主主義で綺麗に勝ったなら、多くの人が認める。疑惑がある状態で政権交代しても…,0,,2,1,384,383
1.33E+18,tsuda,2020/11/9 5:55,「公には選挙結果の受け入れを拒んでいるが、複数の関係者がＣＮＮに語ったところによると、私的な場では選挙結果を否定していない」というのは、いよいよ債務のために資金集めしてる疑惑が濃厚に……。https://t.co/EBPx7JDgiX,0,,1,0,100,162
1.33E+18,rexxxxxxx23,2020/11/10 8:48,ジャニーズ事務所、事実無根ですって否定してくれ...おねがい...,0,,9,1,1399,1288
