id,user,created_at,text,列1,列2,fav,RT,follower,follows
1.29339E+18,MOMOKA_momo08,2020/8/12 3:42,@sadohimajin 引用できるんですよね？意味ない気も??デマ流されても否定出来なくなることもですよね？ある意味 要らない機能かも(´・ω・｀),-1,,0,0,1378,1368
1.29339E+18,dereyankohu,2020/8/12 3:34,クソリプ防止機能って使い方次第ではデマを言っても否定出来ないやつだよな,-1,,3,0,1453,3126
1.29338E+18,KokenSankon,2020/8/12 2:59,@shimakazi @miyawakiatsushi 基地反対運動を合法的にやるのならば否定するつもりはない。逮捕起訴された活動家がいるようでは活動自体信用できない。そして、目の前で違法行為を見ていながら、それを問題視しない沖縄マスコミ。問題を指摘されると、デマだ差別だと騒ぐ。,-1,,0,0,204,453
1.29336E+18,natsuma_e,2020/8/12 1:27,https://t.co/ZuVlSkQOx8＞温厚で生真面目だが、地味そんな皮はとっくに剥けているのではないか？３月には一律給付に反対し実施を遅らせ、今はまた消費税減税を否定するという言動を繰り返している。岸田氏の評価は「財務省の緊縮デマに染められた、判断力が著しく低い政治家」が妥当だ。,-1,,0,0,194,1360
1.29335E+18,fuchsia_2525,2020/8/12 0:57,費リプにあるとおり悪意もしくはデマのツイート否定したい場合どうするんだろ,-1,,0,0,685,675
1.29333E+18,putyan,2020/8/11 23:52,高知のコロナ感染｢看護師自殺｣はデマ　院長が否定､ネットで悪質投稿拡散｢放置できない｣：高知新聞 https://t.co/rnzuPszXZ4,1,,0,0,1568,1412
1.29333E+18,v_accordion,2020/8/11 23:39,いつもの成り行きを見てると、デマ・誹謗中傷を放言した張本人に加えて、そのフォロワー全員を返信・通知対象から外せるようにしていただけると、安心して不事実の否定ができると思うのですが。。。,-1,,5,0,2082,730
1.29332E+18,Lycoris_JPN,2020/8/11 22:41,@SamejimaH 戦前の日本は共産主義を訴えたら厳しく取り締まられてたけど、その共産主義を突き進んだ中国が今の香港の自由を脅かしているんだよな。それにしても、今の日本は総理大臣を口汚く罵倒したり、人格否定やデマを発信できるんだから自由だよな(笑)#香港問題を安倍政権批判に利用するな,-1,,0,0,822,828
1.29319E+18,1234ringo5678,2020/8/11 14:27,こんな言い方したく無いけど馬鹿なの？！頭沸いてるの？！って感じです。デマを拡散、否定しないのは真実だからとか、削除するのは真実だからとか。そんなの表立って反論するわけないでしょ、削除するよ、こうやって信じるお馬鹿がいるんだから、広まって非難されないように、当たり前でしょ。,-1,,2,0,0,0
1.29318E+18,p0o9i890,2020/8/11 13:41,@r13812 お仕事ご苦労さん日本では安易な言論弾圧は最悪の犯罪です。デマであるかどうか、他人の意見を否定できるのは日本国民の忖度を得た報道会社だけです。おまえが何の信託を得てるか知らないが他人のツイを批判する事自体が間違いだよ。,-1,,0,0,12636,13218
1.29317E+18,gatagatajan2,2020/8/11 12:46,@xAegvg0JipIY0hD @joe_mikey_yap 粘着質。日付が数日違うのは確かだが、時期的に、というニュアンスで大半の人達には通じている。デマという表現、正論を盾にした揚げ足取り。以前から日本では東京五輪開催が多くの理由で不適切(メリットよりもデメリットが勝る)だった、というのを必死に否定したい思考が根底にある証拠,-1,,0,0,10,59
1.29316E+18,lovelybambino,2020/8/11 12:37,男女アイドルが交流？女性アイドル所属のサッカーサークル、予期せぬデマを再び否定「健全な集まり」 - 韓国芸能ニュースはKstyle  https://t.co/dSCwJQ4ngz @Kstyle_newsより,1,,0,0,27,55
1.29316E+18,yu99918230,2020/8/11 12:14,かの方々は、デマだ！って言うか、それとも、これを否定するデマ情報を垂れ流すかするでしょうね。 https://t.co/ss1pr0lgAh,-1,,0,0,49,110
1.29315E+18,yazdcn,2020/8/11 11:42,@Kabura_net14831 対抗の為の世論形成っつっつてんだろさっきから？民主主義国家は世論こそ全てだよ。こんな10年以上も前に否定されているデマに騙されている貴方に真実を知るようアドバイスし、教えてあげたらまさかの難癖！デマに騙されないよう親切心のつもりでしたが残念ですね。どうぞ騙され続けてください。 https://t.co/FbHfC8qjI4,-1,,0,0,173,279
1.29313E+18,ne_ta6,2020/8/11 10:11,疫病の流行と一緒にデマや迷信も流行るのは昔からよくある話だけど、「疫病の流行」そのものをデマとして否定する人が出て来るのも昔からあるんだろうか。,-1,,0,0,591,656
1.29312E+18,tarepanium1,2020/8/11 9:57,@ohnuki_tsuyoshi @madnoda 「デマを流すコストは低いがデマを否定するコストは高い」と言う非対称性の存在があるから、影響力を換金する事業者としてはデマを流すことが株主に対する義務を安価に達成できる,-1,,10,18,651,696
1.29311E+18,ab21yz,2020/8/11 9:17,男女アイドルが交流？女性アイドル所属のサッカーサークル、予期せぬデマを再び否定「健全な集まり」 https://t.co/tq6Z5S5Hks,1,,0,0,1646,2327
1.29311E+18,kandora_arasuji,2020/8/11 9:15,▼最新情報 from Kstyle男女アイドルが交流？女性アイドル所属のサッカーサークル、予期せぬデマを再び否定「健全な集まり」https://t.co/zOKjhzVOJg#韓国エンタメ#韓国ニュース,1,,0,0,3263,4885
1.29311E+18,Kstyle_news,2020/8/11 9:10,男女アイドルが交流？女性アイドル所属のサッカーサークル、予期せぬデマを再び否定「健全な集まり」https://t.co/P2phiqj4F0,1,,111,18,774171,30671
1.29302E+18,himdevil49,2020/8/11 2:57,KISSのメイクは日本の歌舞伎を参考にしたというデマ。ポール・スタンレーが否定していた https://t.co/uojxCexbGQ,1,,3,0,359,360
1.29298E+18,nemurineko4989,2020/8/11 0:32,@OssanBlackRX 誰にも否定出来ないのでデマじゃないです。,-1,,0,0,1118,4862
1.29296E+18,_alminoe_1,2020/8/10 22:50,個人の納税を言ってるのに何を言ってるのか？！人数が多いから、日本人の総額が多いに決まってるだろうが！きちんと、日本人と等しく納税してるのに、それを否定すらデマばかりしてる日本人に対して言ってんだよ！総額の話じゃない。馬鹿じゃね。 https://t.co/CwTOCS5Bfr,-1,,4,1,270,189
1.29294E+18,yascosan,2020/8/10 21:55,@erihisyoyutako @chikachika361 @arimoto_kaori ですね。松井さんも吉村さんも、首長として当り前の対応しかしていないんですよね。もう松井さんが否定してから1年も経つんですが、おどろおどろしい怪しそうな妄想話をくっつけて、維新を売国政党に見せたい人達がいるようです。反都構想の人達は、デマでも切取りでもなりふり構わずです??,-1,,2,0,554,158
1.29292E+18,IAQBiM62xQQsKMk,2020/8/10 20:09,で、実際れいわを批判してる人は何を言うかと言ったら、障害者が嫌いとかデマをするりょうりょう。池戸の左派には否定的。聞けないですよ。,-1,,1,0,200,561
1.29284E+18,versicolor10,2020/8/10 15:09,@segundonidao @tachinomi @Ippan_25daisei @nippon_ukuraina あなたはひょっとして憲法9条が個別的自衛権を禁じていると勘違いしてませんか？それは60年前から否定されてますよ誰か悪人の撒いたデマに騙されてませんか？,-1,,2,0,139,46
1.29284E+18,MarisanSocial,2020/8/10 15:03,#平塚正幸 氏やその周囲に集まる人たちは #ドナルド・トランプ 氏と同じ心理構造なのだと思う。信じたくないことは全てデマだと否定するという意味で…。逆に客観的にポシネガ両方の情報をまず知りそこを起点に考えること。この「現実吟味能力」は、人としての成熟度を示します。#クラスターフェス,-1,,1,0,7,3
1.29282E+18,Ahoo_Moon,2020/8/10 13:42,@RuuPika @NPA73060 @Combat_carL_ いいえ！るぅさんにそう言っていただけて…私がデマを否定しなくて良かったと改めて思います?黒とか虐待派とかきちんと調べられる人なのか、感情任せに突っ走って他人を貶めるだけの愛誤か、沢山見極められて良かったです??るぅさんは初めから冷静で素晴らしいと思っていました,-1,,2,1,190,188
1.29277E+18,ksl_live,2020/8/10 10:46,注目記事→ 岡江久美子さんの娘・大和田美帆さん「母はヘビースモーカーどころか喫煙者じゃなかったのに」マスコミのデマを否定 https://t.co/fbrUDjIPdt,1,,28,15,31373,19245
1.2927E+18,dansharidaiji,2020/8/10 5:57,@issunsakihahika @timobobby1 この方の動画を見ると事実が分かりますよ。スウェーデン在住の日本人で吉澤智哉さんという方です。貴方が信じている情報はメディアによる偏向報道でデマです。スウェーデンはそもそも集団免疫をつけることを目的にしていませんし、それは5月に政府が否定しています。https://t.co/KYoXQeV7Fs,1,0,1,0,94,61
1.29256E+18,ksl_live,2020/8/9 20:46,注目記事→ 岡江久美子さんの娘・大和田美帆さん「母はヘビースモーカーどころか喫煙者じゃなかったのに」マスコミのデマを否定 https://t.co/fbrUDjIPdt,1,,51,22,31373,19245
1.2924E+18,mai_0112,2020/8/9 10:12,@rougebuck21 アメリカのコロナパーティーみたいなものですかね??世の中にはデマを信じて科学を否定する人達がいるようです。,-1,,1,0,142,147
1.29235E+18,ksl_live,2020/8/9 6:46,注目記事→ 岡江久美子さんの娘・大和田美帆さん「母はヘビースモーカーどころか喫煙者じゃなかったのに」マスコミのデマを否定 https://t.co/fbrUDjIPdt,1,,49,25,31373,19245
1.29232E+18,NgtDema,2020/8/9 4:28,【デマ１４】ファンと荻野の関係？荻野の所属事務所は荻野とファンとの個人交流を明確に否定している。ネットの迷探偵達が提示する証拠も嘘ばかり。https://t.co/snRcDkKayw,1,,3,3,84,85
1.29226E+18,16shirouto,2020/8/9 0:37,そんで弱いものばかり相手にするなよデマだとも言い切るなら強者にも向かって行けよもちろん嫁や友達対する言葉が本当に悪質なデマや誹謗中傷なら、イケハヤが勝つだろうそこに関しては否定しないよだけど弱いものばかり相手に言論統制すんなよわかるか？ https://t.co/iqLAQOJb5u,-1,,10,0,1751,102
1.29224E+18,pj1EyUnlZAaxSlh,2020/8/8 23:21,@vogelsang7 発言のどの部分がデマか指摘しろよ太田は「医師会が医療崩壊を危惧してる」という点は否定してない,-1,,0,0,9,16
1.29214E+18,ksl_live,2020/8/8 16:46,注目記事→ 岡江久美子さんの娘・大和田美帆さん「母はヘビースモーカーどころか喫煙者じゃなかったのに」マスコミのデマを否定 https://t.co/fbrUDjIPdt,1,,75,38,31373,19245
1.29208E+18,NgtDema,2020/8/8 12:38,【デマ１４】ファンと荻野の関係？荻野の所属事務所は荻野とファンとの個人交流を明確に否定している。ネットの迷探偵達が提示する証拠も嘘ばかり。https://t.co/snRcDkKayw,1,,1,2,84,85
1.29206E+18,XxxZ3z,2020/8/8 11:28,@AW7wuB9rhewT9Qk @strs_hsn10 @dai6ten_maou @fxrs1986 あぁいや特異度が100を否定したいのではなくて、特異度が99がデマだと言える根拠を知りたいんですよ。なぜこれまで発生していたのにSARS-CoV-2では発生しないのか。何が違うのか。科学的根拠があるのか。それを知りたい。100なら100の方がいいですからね,-1,,0,0,11,87
1.29196E+18,CSambo,2020/8/8 5:06,これ本当に大事で、春頃の検察人事のデマ、関心のある人が少なくてデマを放置していたら、「いつもの否定派が出てこない！これは正しいんだ！」と勘違いした普段黙ってる有象無象まで騒ぎ出して、結局公務員の年金制度の整備が吹っ飛んだ。 https://t.co/oH2GK1V6xf,-1,,193,226,2516,1354
1.29196E+18,ksl_live,2020/8/8 4:46,注目記事→ 岡江久美子さんの娘・大和田美帆さん「母はヘビースモーカーどころか喫煙者じゃなかったのに」マスコミのデマを否定 https://t.co/fbrUDjIPdt,1,,29,21,31373,19245
1.29169E+18,hentonacyoyu,2020/8/7 10:41,@28_momechabo 大量のデマの否定に忙殺されて結局負けてしまった名護市長選が思い出されて、不安でした,-1,,4,0,1129,754
1.29168E+18,akasaka7777,2020/8/7 10:30,岡江久美子さんの娘・大和田美帆さん「母はヘビースモーカーどころか喫煙者じゃなかったのに」マスコミのデマを否定 https://t.co/qFgv7pGv5P,1,,0,0,823,1725
1.29166E+18,Harutos06,2020/8/7 9:16,インターネットの情報は玉石混交と言っていいが、デマに対する否定・反論については迅速かつ丁寧に行われるので、知ったかぶると事実が目一杯知れるというインターネット仕草が継承されていることを感じる,-1,,1,0,489,485
1.29164E+18,works_ts,2020/8/7 7:56,新型コロナ：「デマ否定」が逆にデマを拡散させてしまう――それを防ぐには(平和博) - Y!ニュース https://t.co/45zZbAsX0k,-1,,1,0,2137,2071
1.29162E+18,bessei_family,2020/8/7 6:27,選択的夫婦別姓は、日本崩壊を招くわけではありません。選択制夫婦別姓法案に否定的な意見の多くは、デマや誤解から広がっています。あなたの考え方は正しいですか？　今一度、家族やパートナーの方と話し合って、正しい知識と認識を。#選択的夫婦別姓　#夫婦別姓,-1,,5,1,1262,1128
1.29157E+18,ksl_live,2020/8/7 2:46,注目記事→ 岡江久美子さんの娘・大和田美帆さん「母はヘビースモーカーどころか喫煙者じゃなかったのに」マスコミのデマを否定 https://t.co/fbrUDjIPdt,1,,31,15,31373,19245
1.29139E+18,ksl_live,2020/8/6 14:46,注目記事→ 岡江久美子さんの娘・大和田美帆さん「母はヘビースモーカーどころか喫煙者じゃなかったのに」マスコミのデマを否定 https://t.co/fbrUDjIPdt,1,,23,13,31373,19245
1.29138E+18,NgtDema,2020/8/6 14:43,【デマ１４】ファンと荻野の関係？荻野の所属事務所は荻野とファンとの個人交流を明確に否定している。ネットの迷探偵達が提示する証拠も嘘ばかり。https://t.co/snRcDkKayw,1,0,4,1,84,85
