id,user,created_at,text,,,fav,RT,follower,follows
1.33225E+18,toyotask000,2020/11/27 9:26,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/bihXjO6dgX ・,0,,0,0,737,942
1.33199E+18,auraarune,2020/11/26 15:36,"みんな餅ゴリのことを言ってるのに''JYP""って書くからなんか事務所自体否定されてる感じで？？？ってなるんだがーーまあJYPって餅ゴリが建てた会社だし多少有名なアーティストだったんだから餅ゴリ宗教みたいになるのは仕方ない。ただ餅ゴリとJYPのスカウトはまじで人選力すごい。(なにが言いたいん？)",0,,0,0,191,373
1.3304E+18,arakidonsan1,2020/11/22 6:26,2020年最新 ぺこぱ事務所 2020年ブレイク間違いなし！ぺこぱの『日めくり 毎日ぺこぱ 』（３月２７日）発売決定！否定しないツッコミが話題！怒涛の快進撃を見せる話題のぺこぱ初の日めくりカレンダー発売！株式会社 大和書房2020年3月2日&amp;hellip。 https://t.co/i13wfG2g0s,0,,8,0,439,481
1.33303E+18,yosojiDarlin,2020/11/29 12:51,@Korea_lbotvse 誤解されるといけないのでことわっておきますが、何もあなたを批判したり否定しているわけではありません。形の上では「所属事務所による謝罪」ですが、それ以上にどんな具体的なことを求めているのかがわからないのでリプさせていただきました。BTSにはどんどん活躍してほしいと思うので。,,,4,0,111,109
1.33302E+18,nUzkK7iKDudhftn,2020/11/29 12:27,@hana9400nnn @qtGToKHyMFsIBi0 しかも反省文(ナチスに関しては否定してるだけ)は事務所が出しているっていう件もですかね、、、,,,3,0,51,83
1.33302E+18,kmf2kakkoii,2020/11/29 11:57,きたどうにコメントした方いるのね…それは違う気がする……この情報で色んな感情があふれかえるのも分かる、実際私も否定的なコメント見て、「確かに…」と思ってしまったけど、みっくんだけ叩かれてるのはおかしい事やと思う！他にも、事務所の方きすどきさんも関わってると思うし…,,,0,0,9,10
1.33301E+18,XhaCuWBnTX9jxJH,2020/11/29 11:35,そんな簡単に治らないと思うよ。早めに何かしら事務所から否定するなりしないと。あぁでも一般人（？）だから否定も何も出来ないか。こう言う時に文春砲食らえよ（,,,0,0,130,308
1.333E+18,Nomy0409,2020/11/29 11:03,明日は突然ふってわいた期間限定の税理士事務所の経理補助のお仕事の職場訪問！年齢も年齢だし正社員になりたくてこの４ヶ月ずっとハロワで就活して落ちまくって自己否定＆自己嫌悪で死にたくなるとこまでいった数日前,,,1,0,48,38
1.33299E+18,moriseroi_run,2020/11/29 10:18,数日見守ってたけど何も知らないのになんかもう人格否定目に余る言葉ばっかりで腹立つな。一方通行で表に出す必要もよく分かんないし本気で解決したいなら事務所同士で話せばよくないか。あとご本人何か出来たらとかファンもコラボとか言ってる人もいるけど相手辞めJr.だから非現実的だからね。,,,5,2,52,77
1.33296E+18,loveshuse,2020/11/29 8:24,...お金の為には頑張ってくしかないんだけど、、。なんだかまた、N氏に事務所に呼ばれる事態がすんげぇ恐怖だって解んないかなぁ(´･ ･`)私は表現しようしようって頑張ってる。なのにそれを否定するんだよね。てめぇが居るからそこ働き #コミュ障  過食症,,,0,0,2,38
