id,user,created_at,text,fav,RT,follower,follows
1324138492738199556,katsuyuki_32,2020-11-04 23:56:32,@baba_ishin 特別区移行を楽しみにしていたのに残念です！デマに潰されただけで都構想そのものは否定されていないので特別区移行の可能性も残しながら新たな大都市法がつくられるのを期待しています！！,0,0,110,196
1324130002510639104,YomodaSouji,2020-11-04 23:22:48,反対派がここまで言ってるのにも関わらず、未だ萌え絵やタイツフェチが否定されただの、描き手も企画者も女だの、性的でも何でもない普通の絵が糾弾されたというデマを平然と流したりだの、連中は異常者の集まりですか,1,0,332,385
1324126869197791238,Nao_naroumin,2020-11-04 23:10:21,@shoukootaden @lrLuXlmIk7nlRP8 @jejenoseee そこは読んでんかったわ。複数見てて1箇所に突っ込んだからこうなったのはすまない。自分が主にキレてるのは沖縄でデマ広められても自分らに都合が良いと否定しない沖ウヨなので。けど個人的なフェイクはともかくフェイクニュースは完全否定すべきでしょ。,1,0,237,353
1324096226598416384,iori_izumi2001,2020-11-04 21:08:35,そういうハラスメントがいまだに存在する事は否定しないから嘘とか作り話とまでは言わないけど、どの会社か特定出来る書き方で真偽不明の情報を拡散するのはクズだなぁと思った。自分に不快な思いをさせた会社なら、仮にそれがデマでも攻撃材料になるからいい とでも思ってんのかな。拡散してる人は。 https://t.co/D7zeYzizJI,6,1,1834,280
1324075516622635009,kuroneko666,2020-11-04 19:46:17,@pomopr_g @kairouebina @areareararerere まさかやってんのかおい！？って感じのツイートだからデマって一蹴するのも変に感じるし、まあ不正の可能性もあるかなと思ってるので頑なに否定するのもなって感じてます。不正かどうかは訴訟したら調査するんじゃないですかね、調査方法は知りませんが。訴訟しなかったら不正はなかったってことで。,1,0,5,8
1324069511901798400,telepon9,2020-11-04 19:22:26,ツイッタランドなんかでもバイデンに都合悪ければ、すぐデマの可能性を否定出来ない❗と検閲し、トランプに都合悪ければ放置。露骨過ぎるからもう誰も信用してないよね。,0,0,569,732
1324064165825179648,Cassini9211,2020-11-04 19:01:11,現時点では不正選挙かどうか分からないのだから、不正選挙が行われたとの訴えに対して、もしその論拠が反論可能であったとしても、不正選挙が行われていないと否定する事もできないのだから、その論拠がデマだと指摘するのは良いにしても、不正選挙そのものを否定するのも強引だと思う。,2,0,394,691
1324053542986940417,proprocivilian,2020-11-04 18:18:59,"バイデンが勝とうがトランプが勝とうが日本はできることをするしかないんだけど、思慮の浅さで日本国内にデマが拡散するのが馬鹿らしいからツイートしている。で,こうやって選挙制度を否定＝民主主義を傷つけるようなことをすると、一番得するのが中国なんだよ。＃大統領選挙＃バイデン＃トランプ",2,1,28,151
1324044790908899329,neko_mimii,2020-11-04 17:44:12,不正選挙をデマだって言ってる人はただ『言っている』だけで否定するデータすら示さない不正選挙だ！って言ってる人はグラフを用いたデータとともに論じているそりゃデータある方を信じてまうよ,15,2,0,0
1324038899635662848,NNnoAYA,2020-11-04 17:20:47,大統領が郵便投票を否定しているのはデマな上に滑稽なお話だとわからない、最低限度の知性を有していない人達が増えてて、恐怖案件です…。大統領側じゃない方が郵便投票で大統領側が不正することを心配するなら理にかなってますが、郵便投票で不正できる大統領側が言うのを真に受けちゃう人達とか… https://t.co/BKpFxLOEBx,0,0,64,71
1324032721119686657,kongyouguai,2020-11-04 16:56:14,@cule_spelunker ここまで明らかなデマ否定ソースを見て不正だって言えるネトウヨのお前が心配だよ。ムサシ陰謀論とか知ってる？「ムサシの機械で不正選挙が起きてるんだ」ってやつ。ずっとネトウヨに貶されてたんだけど。,2,0,2654,1412
1324006828150120448,lE1R0,2020-11-04 15:13:21,@VirtualSeven1 デマ発言が過去にあることは否定しないですよ。それは『人格攻撃による誹謗中傷』に該当しませんが。日本語の意味を理解してから相手を馬鹿にしましょうね。出直せw,1,0,525,601
1324005241004597254,GTQryj7eIV0zQFQ,2020-11-04 15:07:02,若者がＳＮＳで必死に新コロ品薄デマを否定、一方その頃老人は…老害リムーバーされるぞ,0,0,58,56
