text,
@cycle_okinawa @hamawo_wo_wo @Nao_naroumin 横から失礼。カウンターとは、日当貰ってるや地元民いないなどのデマ投稿に、「違いますよ」とデマ否定や反論したり…というネット上の動き。ただ、相手は煽り目的なので事実を提示しても論点ずらしたり、言葉尻をつついたりするので、疲れ傷つきます。リプはいま私があなたにしている返信のことです。,
@taima_kaikin420 @dogezano @cnn_co_jp まさしく「都合の良いところしか見ていない」典型ですね。「合法化を唱える学者」がいることも事実が、同じように「危険性を唱える学者」がいることを完全無視。研究して否定した学者の意見をYouTube動画一つで「デマ」と認定するご都合主義な人にとっては「ロクにされてない」事になるんですね笑,
今は無している女の人。今年の春頃から出始めた、すでに否定されているデマばかりを並べ立ててる。こういう事を、大声でやっちゃう所がいけないと思う。,
@shibagoroko @RibbonChieko 日本でも、野党の不正が露呈すると、早速Asahi 系がファクトチエックと称して、必死に隠蔽情報を流す。だが毎度不都合な真実を暴かれて、その後にデマと否定するのが、捏造新聞の子会社。（笑）マッチポンプ。自作自演。バズフイード、週刊金曜日、挙句、週刊現代。,
左翼ちゃんねる : 【デマ】ジョージア州務長官の事務所「投票用紙は違法に秘密裏に数えられた」と認める！とスレが立つもFOX「州務長官は否定」https://t.co/Ni5e9VyAGi,
真面目ニュース速報 : 【デマ】ジョージア州務長官の事務所「投票用紙は違法に秘密裏に数えられた」と認める！とスレが立つもFOX「州務長官は否定」https://t.co/N6sWRJLkZn,
【デマ １０】NGTメンバーの暴行事件関与メンバーの事件関与については、警察、当時の支配人、本人、そして容疑者等、山口氏を除く口を開いたすべての関係者が否定している。容疑者は事件当夜に終始曖昧な回答を繰返したが、推しである山口氏に不利なことが言えなかったためと裁判で後に供述,
【デマ】ジョージア州務長官の事務所「投票用紙は違法に秘密裏に数えられた」と認める！とスレが立つもFOX「州務長官は否定」 : おーるじゃんる https://t.co/Mlo2FeaFd9,
【デマ】ジョージア州務長官の事務所「投票用紙は違法に秘密裏に数えられた」と認める！とスレが立つもFOX「州務長官は否定」 https://t.co/kh44vEVxPE,
【デマ】ジョージア州務長官の事務所「投票用紙は違法に秘密裏に数えられた」と認める！とスレが立つもFOX「州務長官は否定」 https://t.co/jev5bxtE4Y,
【デマ】ジョージア州務長官の事務所「投票用紙は違法に秘密裏に数えられた」と認める！とスレが立つもFOX「州務長官は否定」https://t.co/Gv1tAjnHb6,
@shop_kakiko 実際デマ(公式な機関が否定したもの)を盲信してたしなぁ,
もしデマならジナ・ハスペル氏本人を取材してその映像をニュースにすれば一発で終息する話なのにね～！本人もこんなうわさ立てられたら秒でメディアの前に出て否定しなきゃ！いったい今何してるんだろうね～！そのことを指摘しないのは不自然だよね！ https://t.co/LQ4Un6tPat,
デマ注意！｢男へのクリスマスプレゼントはネクタイがおすすめ｣というデマが流れていますが絶対信用しないでください！男が本当に望んでいるのは『滲み出す混濁の紋章、不遜なる狂気の器、湧き上がり・否定し・痺れ・瞬き・眠りを妨げる 爬行する鉄の王女、絶えず自壊する泥の人形、結合せよ、反発,
韓国は未だに「軍艦島での強制労働」というデマに執着している。このデマは既に旧島民の証言で否定されている。存命の「被害者」を旧島民と対面させ、証言の真偽を確認すれば事実は明らかになるだろう。（こうした確認を、韓国は受け入れていない）https://t.co/JMh61upUz9 https://t.co/i3Z55azTLv,
トイレットペーパー品切れの件、デマのツイート自体は拡散されなかったが、そのツイートへの否定リツイートが大量に飛び、ニュースメディアで拡散され、一気に広がった #情報法制学会,
私のツイートもあちらの界隈に少し届くようになったのか、Trump信者からのクソリプを頂くようになりましたwwデマ否定のツイートを検索で見つけては攻撃を仕掛けているようです。🏇🦌さん,
スターリング氏による否定ツイートは16時間前なのだけど、日本語で「不正だー」と叫んでいる人たちが今なおこのビデオを伝家の宝刀のように掲げているのは、そもそも不正だと決めているのもあるだろうけど、こういうデマを日本語で流す人たちが、打ち消し情報をあえて訳さないからなのかな,
財政出動を訴えると、デマなのに「次の世代に借金を残すのは…」的なことを言って否定する癖に、次の世代が平和に暮らせない未来に変えちゃうのはokなんだ？と思う。本当は、日本人の多くは次の世代のことなんて知っちゃこっちゃないんだよね？(*´_ゝ｀) https://t.co/tqpgvmvO0I,
#静岡県内コロナ関連情報 伊東市長がSNSでのデマを正式に否定しました https://t.co/lodafFUY6b,
どこの誰だかわからないツイートであれ、それがデマであるならば「それはデマです」と指摘することが重要なのです。放置しておくとそのデマが拡散されていき、デマなのに否定することが難しくなる。,
トランプ派がデマばかりになって自滅してる印象はぬぐえませんが、すでに出ている不正疑惑のなかにも、否定しきれないものがあるように見えます。バイデン政権の成立を受け入れるのは、「不正は全くなかった」と思うことと同じではないはずです。,
マジで言うとるからチェックしといたほうがいいと思うよ。https://t.co/DjHqiTItbH知らずに生きてたほうが楽かもしれんので、冷たい言い方だけどお好きなように。ワク○ンに否定的な情報は今後削除していくと名言してたから(←デマとしてな)今後こういう情報も目にすることが無くなっていくんだろう https://t.co/FPt7tKMsYx https://t.co/MeJm9D598g,
@LjVocNgEMSlWlPE @takioca @Nakaji38565827 これはデマです‼️一昨日ぐらいに否定されました😅,
比較的他職種には口を出さないと決めている僕ですら、人の体に危害を及ぼすデマ情報にはかなり憤りを隠せない時があります。この件もその一つで、あの時の悔しい気持ちは忘れる事ができません。もし標準治療を真っ向から否定するのであれば、SNSで拡散するのではなく査読付きの英語論文を書けば良い。,
慰安婦証言やモリカケも、再調査して関係者が否定したことで最終的に捏造だと判明。米大手メディアがデマだと言ってるから証拠は全部デタラメ、と断言しちゃう人はちょっと信用できないやね。デマが多いのは確かなんで具体的に検証してほしいんですけど…無理なんだろうな。,
偽陰性者が大量発生する可能性は否定できていないし、偽陰性の発生を抑えるために必要な「適切な検体の採取」に必要な人や機材が足りてるとも言っていないし、偽陰性者が未.. https://t.co/kBeDrkFXAl「新型コロナに関するデマ、不適切な主張について」https://t.co/N7Sk52lYQW にコメントしました。,
2) 今後声が小さくなり、とぼけ始める可能性を否定出来ませんので、バイデンを支持する存在は個人や組織に関係なく認識しておいた方が良さそう。何処と利害関係が有るのかを知る踏み絵的になりすわ。「デマだ・嘘だ・証拠を出せ」と言っていられなくなるかも？,
,
text,
@kenichi_tomura @TrinityNYC 別の動画や問題ない動画を不正の証拠だと言ったり、トランプにも票が入ってるグラフを見てバイデンだけ票が入ってるとか、小学生でも見ただけで否定できるデマを流したり。死者や投票率、ドミニオンもデマの数時間後には否定されてます。そういうのがほとんどなので勝ち目は最初から0ですし。,
