id,user,created_at,text,fav,RT,follower,follows
1323771435278430210,nyannyan178,2020-11-03 23:37:59,FC継続の件で一部の人が暴れてる。色んな考え方を一方的に否定はしないけど、それをメンバーや事務所への攻撃や誹謗中傷に変えるのは社会通念上理解できないし、放置していてはいけないと思うんだよね。そろそろ法的措置を取って欲しい。そしてその歪んだ攻撃が全世界に見られてる事を恥じた方がいい。,1,0,212,223
1323742782192693248,Y75666643,2020-11-03 21:44:07,事務所から配信されている有料のものが対象になるみたいですね。有料配信やFC動画は、配布されるとお金を払わない人が出て来ますからね。情報垢は検索避けがあったり、ツイート内容も否定してしまえばそこまでです…続きは質問箱へ #Peing #質問箱 https://t.co/9HI7FOXsVt,1,0,103,0
1323729821827059712,harukazeyohuke,2020-11-03 20:52:37,@burukoburuko yahooニュースの時間も、私達には何の基準で表されてるか分からない。そこの真実を追求するより、こういうニュースが朝にあった、それを朝見た人達もいると、攻撃材料にしていけばいいと思うんです。それが違うのかどうかは向こう側に委ねれば良い。yahooや事務所が否定すれば良いんです。,7,0,778,572
1323722423741505536,085sakura,2020-11-03 20:23:14,不貞発覚後の連れ去りでDVを主張され、保護命令も支援措置もされたけど、DVはなかったとして虚偽告訴等罪の告訴受理で調停では一切DV主張はなくなり、離婚裁判ではDVは否定されたんやけどな。東京の有名離婚弁護士事務所のやつ貼っておくね🤣 https://t.co/rOpr306xqB https://t.co/PjWzoYaHnH,24,8,1531,1678
1323664948463988736,sana26975265,2020-11-03 16:34:50,事務所がー、3人も出てー、何ていつまでも言ってる人達は、今の✋さんを否定してない？3人で成立してるから余計に言うのかな。結局Gに居た✋さんが好きなのでは？彼らの選択に納得出来ないのなら降りるべき。私達が決める事じゃないでしょ。,5,0,29,22
1323634533174976512,AFanWithNoName,2020-11-03 14:33:59,#堀北真希 は賢い。「円満退社」の建前上、事務所に反して自ら「引退」を否定することは得策ではない。だが逆に「引退」「辞める」と明言しないことで、事務所が主張する「引退」に疑問符がつく。実際、今回の件を「実質的には育児休業であり、いずれ活動を再開する」とみる芸能記者は少なくない。,0,0,12,0
1323616320294842373,obakenoQ1101,2020-11-03 13:21:37,ありました、他に春馬氏の早朝訃報報道を見つけた証拠あれば力になります。事務所も否定出来ない。憶測やガセではなく、報道にストップをかけれない何かがあると証拠できます。ソースではなく僕は証拠で暴きたい！本気なので、ツイ友さんと暴きたい理解して貰いたい！ https://t.co/2Rk1Kyicoc,112,29,1763,1755
1323595121577795584,sraoki,2020-11-03 11:57:22,業務委託社労士は「できますオーラ」の鎧を身に纏った瞬間に上達を否定してしまう。学びを否定するのなら自分の事務所で稼げ！って事だから。何度も客とのトラブルを起こした結果での学びはあってはならないのだ。指で頭をクルクルして「頭おかしんじゃないの？」は許しても決して忘れない。&lt;(_ _)&gt;,0,0,198,155
1323551426438520832,AFanWithNoName,2020-11-03 09:03:45,#堀北真希 は引退してないでしょ。事務所側の対応を見れば、直筆コメントでも「引退」を明言するように求めたであろうことは容易に想像できる。にも関わらず「引退」「辞める」という言葉をあえて使わなかったのは、堀北側に「引退」を否定する意図があったってこと。つまり、実際は育児休業。,0,0,12,0
1323502385562464257,neruasa,2020-11-03 05:48:52,雇う側としてはその事務所一概に否定できんのよなぁ。将来的なリスクとか考えると。あとは事務所の役割からしたらある意味正直な会社だとも思うわあくまでも企業利益で考えるとね。 https://t.co/qJreH5vuZ1,0,0,72,236
