id,user,created_at,text,fav,RT,follower,follows
1325226485829890049,cat_patalliro,2020-11-07 23:59:50,何でもすぐにデマだとか、他で否定される報道があったからってはい嘘松みたいなさ、そういうのよくわからないんだよね。その報道も本当かどうか私達には分からないんだよ。だからいくつも情報を集めて一旦保留にして、その中でこれはどうやら本当っぽいぞと思うものだけさらに注視して見ればいい。,0,0,621,675
1325224928791068672,BLACKWIND000,2020-11-07 23:53:39,イソジン騒動引き起こし居直り図る大阪府知事 https://t.co/Hdc8z7y15B 放送直後からドラッグストアにうがい薬を求める客が殺到し、急に売り切れになるなどの弊害が出た。また製造会社の株価も、報道直後から急に値上がりした。専門家からは否定的な見解が相次いだ。吉村知事は、居直りで責任転嫁。,4,6,963,0
1325221845579173889,syin_jp,2020-11-07 23:41:24,印象操作ひつこいね。都構想住民投票は協定書を許可するか否かの選挙。大阪維新の市政評価は７割。維新に否定などとすりかえるのが日経の報道レベルなのかね。 https://t.co/vrsIjIWYF3,9,2,1645,499
1325220861117308929,ysd_0311,2020-11-07 23:37:29,観月ありさ、上原さくらの元夫との結婚報道に親友○○が否定。 https://t.co/cMbw8Emd0w,0,0,273,518
1325219111866048513,EijiroOzaki,2020-11-07 23:30:32,【米国テレビ選挙報道について】◆ 司会者らが、非常に淡々と事態を伝えようという姿勢に徹する。◆ 政治の“専門家”が解説する。◆ エンタメ色は無い。◆ 解説時のデータが豊富で、見通しが細かい。◆ デマ情報はきっぱり否定する。◆ 討論会も投票速報も、地上波キー局が放送する。,59,35,4525,2768
1325219046493544448,NanagiAoki,2020-11-07 23:30:16,バイデンの息子の話、報道しない自由を駆使されてるだけで、否定自体はほぼされてないんだよな……。そして息子に移動手段として副大統領専用機使わせていた話もあるし、副大統領の息子であることを利用していた話もあるし、それお前何も関係ないは言えないだろって思うんだよね。,2,1,318,285
1325218203132329985,norikatgo,2020-11-07 23:26:55,テレビでは、こういうこと報道して欲しい。日曜朝のテレビの論調はトランプがこれで大統領になったら選挙を否定する民主主義の根幹を揺るがすと。不正選挙している事実は全く棚のうえ。全く腹立たしい。 https://t.co/tyIKYgQUp5,1,0,70,92
1325215774198300673,midnightshakuri,2020-11-07 23:17:16,ＮＨＫ、紅白歌合戦の有観客開催の一部報道を完全否定　報道に「大変遺憾」　９月に無観客開催を公表済み(スポーツ報知)#Yahooニュースhttps://t.co/W1OOAwtnbo,0,0,1365,2801
1325215128518709253,tokyo_post,2020-11-07 23:14:42,NHKが、その主張の背景にある事実を報道しないからだけどね。。。高額なみかじめ料を取りながら、自ら取材もせずに米TV報道をそのまま垂れ流すだけだが、それ自体NHKの存在否定とは気づかぬ間抜け揃いには、無理な注文かも？ https://t.co/XL1vH0LyC1,0,0,162,286
1325213511572623360,herodotosu,2020-11-07 23:08:17,❓プーチン大統領がパーキンソン病疑いで辞職へ？ 英紙報道も露は否定 #ldnews https://t.co/obUFxyRw2x,1,0,928,898
