id,user,created_at,text,fav,RT,follower,follows
1324860260792770562,bqz_fa5,2020-11-06 23:44:35,アンバーが嘘ついてる可能性もあるのに、DVの疑惑だけでジョニデ降板…？ジョニデは否定してるし、むしろアンバーの方が加害者だって主張してるけどそれは無視か彼女はアクアマン出るのに！どっちも好きだから円満に解決してほしい、そしてジョニデ降板取り消して,1,0,0,42
1324838922011119616,mokabell1952,2020-11-06 22:19:47,これでいくつかの疑惑は否定されますねこれを除いて考えましょう【米大統領選2020】　投票について拡散されたうわさを検証 - BBCニュース https://t.co/l5C3IY78m4,1,0,526,827
1324834303902052352,ozward412,2020-11-06 22:01:26,基本FOXニュースですら大規模な組織的不正投票疑惑には否定的なんだけどなあ。,2,1,7,24
1324833121456410625,yoikodx,2020-11-06 21:56:45,共和党はネバダ州の不正投票疑惑について、司法省に調査を求めた。金曜に緊急聴聞会が設定され、民主党は疑惑を否定した。共和党は少なくとも3062件の不正投票があり、その数は大幅に増えると主張している。#米大統領選 https://t.co/GQTOWcV1vZ,3,2,808,1001
1324829854106226689,Ow23sjmOTOT9yKr,2020-11-06 21:43:46,今回の選挙は疑惑がありすぎるのに、報道各所は即証拠がないと否定してるし庇い立てしてるようにしか見えない｢不正があった証拠はないが、不正がなかった証拠もない｣と自分は思うけどね,0,0,4,2
1324828757769785350,ONOEIPPEI,2020-11-06 21:39:24,CNN何ぞNYTとともに牛の糞！China共産党の匂いが濃厚！USPSが30万の郵便投票を喪失したという疑惑が広がって米マスコミが否定するも海外にも情報が拡散 https://t.co/T3NyV4OAfP,0,1,1216,1818
1324821834014011393,hikorero,2020-11-06 21:11:53,私もBがベストな大統領なんて全く思ってないです。Tはそれ以前の問題だ、と思っています。検閲問題の「真実」は私はFBIじゃないので知りません。ここまで散々騒がれてきた選挙の不正疑惑は、検証され否定されていると、各国メディアが報じています。#odaibako_hikorero https://t.co/6qfypPWw0h,0,0,1551,337
1324794761174278146,LOTLEE1,2020-11-06 19:24:19,そしていろんな人のチャンネルや意見を見聞きして１つ面白いと思ったことが。それは不正疑惑肯定派は年配の方が多くて否定派は若〜中年層が多いなと。これは共和党＝保守(年配多)、民主党=リベラル(若年が多い)で分かれた思想の違いかなと。真実は一つ。でも年代と思想で180度違う,0,0,53,276
1324790266583080961,hif12ikusa,2020-11-06 19:06:27,なんかまだいちいち一個ずつフェイクを探して否定してるみたいだけど〜やたらと各地で疑惑出てんぞ〜σ^_^;マスコミの報道にも疑惑出てんぞ〜σ^_^;どこまで耐えれるか？ちょっと楽しみになってきたやんσ^_^; https://t.co/KmgzG7KXqf,0,0,32,12
1324789052147671042,LOTLEE1,2020-11-06 19:01:38,人柄としてトランプの方がまだ好きかな民主党、共和党どっちでもいいけど選挙不正疑惑論者と否定論者おるのはなんでやろかほんまにどっちでもいいからリアルを教えて欲しいな共和党が疑惑捏造も可能性あるし民主党がトランプの勢いに焦って不正したのも考えられるし,0,0,53,276
1324784295983001600,TwliveTony,2020-11-06 18:42:44,USPSが30万の郵便投票を喪失したという疑惑が広がって米マスコミが否定するも海外にも情報が拡散#消えた郵便投票30万票https://t.co/MZAVn6jauf,0,1,52,24
1324767932241469440,ithink_jp,2020-11-06 17:37:42,@XV9nClGVZSjhvxO あと、別にトランプ支持するのは勝手ですが、民主党陣営が不正したことを確定した様な記載は、完全なミスリードですね。共和党派メディアですら否定的な中で一方的に疑惑を持ってるだけの状況です。良識のある貴方様でしたら間違いなく一度削除し再掲載される事と信じております。,0,0,58,55
1324766456228184064,Mari_mari0324,2020-11-06 17:31:50,ほんでTwitterはどうしたんだ？不正があるかもしれないという疑惑は確かに不確かな情報だがメディアが出したからと言って不正選挙なんてないって断言も不確かなはずだぞ。不正選挙関連を非表示にしてそれを否定する記事をおすすめやらにあげる根拠はどこなんや,0,0,275,993
1324766221770764288,tanoshikuikit,2020-11-06 17:30:54,記事を読む限り、KさんとやらのDV疑惑は別に何一つ晴れてないな、という印象。記事かいた人もなんとなくKさん寄りに書いてる風な割にそこは否定してないのは、Kさんに直接取材してすら、やはりそれがないとは断言できなかったんだろう。冷静な判断。奥さんが平穏に暮らせますように。 https://t.co/5LMIyCB1uL,1,0,461,100
1324751549571108864,taichi_terahara,2020-11-06 16:32:36,例の判決を受けてのジョニー・デップの声明。疑惑に対しては全面否定しつつも、ワーナーから『ファンタビ』グリンデルバルド役降板を持ちかけられ受諾したと…日本が『ファンタビ』地上波放送に向けて盛り上がってるこのタイミングで突然の降板発表、かなりショック…https://t.co/YwtkWh4aVE,1,1,938,787
1324748174800531461,itemauzoondora,2020-11-06 16:19:12,@hoshusokuhou メディア・民主党は、負けを認めないトランプ！といつもの人格否定をしながら一刻でも終わらせたいリベラル左派。本当にバイデンやリベラル左派が清廉潔白で、不正を許さないのなら、再集計や疑惑を晴らしたいのでは？自分達の思想は正義。自分達以外は思想は悪・独裁。多様性を口にするダブスタ,17,5,11,53
1324747639414423552,C__12345_6,2020-11-06 16:17:04,母親、トランプの疑惑とかはすぐ信じるのにバイデンのは疑うしどちらかというと否定するから人望と報道の影響受けまくってる,1,0,2,85
1324741680260472832,pomta5426,2020-11-06 15:53:23,ニコル判事の妻もこのメンバー達と関係している可能性があります。判事自身がこの会食に出席していたかどうかは不明。記事が出た後で、Lette女史は何故かこの会食を否定。今考えると疑惑の影がちらつきます…🤨#ジョニーデップ#アンバーハード#不正疑惑,7,2,2491,1849
