id,user,created_at,text,,,fav,RT,follower,follows
1.33279E+18,aokabi15,2020/11/28 20:39,【疑惑否定】株式会社ジョニーザラシCEO「創価学会との繋がりはない」集団ストーカー業務依頼で有名な株式会社ジョニーザラシのCEOの荒川誠氏は創価学会とのつながりを否定している。しかしWikipediaには・・https://t.co/1CTIEK6Ebhhttps://t.co/3N2qnfLlRE,1,,1,0,6,53
1.33276E+18,tiny_motion,2020/11/28 19:01,ダレノガレ明美は“パパ活”疑惑を完全否定！ 一方マッチングアプリには職業欄“芸能人”も… #日刊サイゾー #芸能 https://t.co/o85WBnI1uH,1,,0,0,10,77
1.33211E+18,massazisumaile,2020/11/26 23:33,加藤茶　ヅラ疑惑否定＆現役宣言　若妻とは運命の赤い糸で結ばれていた？(東スポWeb)#Yahooニュースhttps://t.co/DeonX2aJ6S,1,,0,0,15,120
1.33303E+18,lrEeHidRCRwMOVN,2020/11/29 12:29,@kazuyahkd2 いつも情報発信ありがとうございます。KAZUYAさん、百田さんがファンをけしかけたというのは「疑惑」です。百田さんは否定しています。不確かなことで騒ぐのは大統領選挙と同じになってしまいますよ。KAZUYAの大統領選挙への冷静な意見が理解できるだけに、今回の騒ぎが見ていて辛いです。,,,0,0,28,0
1.333E+18,hensyokuka,2020/11/29 11:07,@aki_zola ご返信ありがとうございます🍀これは言っているという意図でしょうか？このツイートは存じてまして、ここで言う“一部トランプ支持者”＝“真偽不明なものを騒ぎ立てる方”で、”不正を疑う方”＝“モリカケ慰安婦云々”では無いと読み取ってる次第です。不正疑惑自体は否定していないと思いますし。,,,0,0,53,59
1.333E+18,shibagonshi,2020/11/29 11:07,左翼の政変を見透す 世論で政権を乗っ取る五つのステップ｜世界の十字路https://t.co/z6hRp4EmNY#3DCR 様式1) Declare the winner先に気勢を上げて勝利を宣言し、世論の主導権を握る。2) Deny everything外部のすべての疑惑と疑問点を否定する。（続く,,,0,0,1368,902
1.333E+18,madinacharlotte,2020/11/29 10:46,@suger_310 @uber2019tky アメリカの公的機関である国土安全保障省がネット上の不正疑惑をことごとく否定しています。(英文ですが米大統領選に興味あるなら読めますよね？)https://t.co/xrZ58tuDByこれだけをもって絶対に不正がなかったと言い切ることはできませんが、ネット上のしょーもない噂話よりは遥かに信頼できます,,,2,1,778,989
1.33299E+18,AKIYAMARIKU0408,2020/11/29 10:02,@NotVanpie 結局本人が否定し続ける限りは疑惑になるけぇな…,,,0,0,227,271
1.33298E+18,eins_xd,2020/11/29 9:45,@Crys_klee 実際どうなんでしょうね…(家にあったSFCゲーがマイナーだった疑惑は否定出来ない),,,0,0,3,20
1.33298E+18,YoshidaQzo,2020/11/29 9:10,@nipponkairagi 開票翌日から不正疑惑を否定する奴と、ずっと無言だったのに「トランプ支持だけど覆すのが難しい」と、このタイミングで言い出す奴は人間として一番信用してはいけない種類。全ては商売の為の発言。この先に何を論じようと信用出来ないし、信用してはいけない。,,,0,0,6,7
1.33297E+18,Jack06877987,2020/11/29 8:56,福岡の方々へYouTuberのKAZUYA氏が米大統領選不正の指摘は根拠が無いと、例えにソフトバンクホークスの不正を挙げ、優勝を否定するかのような発言をしています💢米大統領選は不正の疑惑も根拠も、少なくとも状況証拠も数多く出ています。同じではない💢#KAZUYA#ソフトバンクホークス#福岡 https://t.co/QVruoIuNrF,,,0,0,191,276
1.33295E+18,maaa276,2020/11/29 7:25,前にラジオの間隔あいたときは仕事疑惑を本人が否定したけど今回はこの流れなかったなあと疑ってかかった見方をしてしまう,,,2,0,99,3
1.33295E+18,umoeQLO03H67sJP,2020/11/29 7:24,2019→20万じゃなく40万借りたと知らされる現在→不倫疑惑女出てくる。本人は否定。子供出来ないからって離婚切り出される,,,0,0,77,130
1.33295E+18,akutadenshi,2020/11/29 7:14,@reiwanoharu @Yotsubarai_03 @arimoto_kaori そして文化人放送局で「バイデンジャンプ」をしたり顔で「よくある事」だと不正疑惑を鼻で笑っておられたこのところ、どうやら竹中平蔵とさして変わらないグローバリストの面をあらわにしてきたように思えます朝日や中共を批判してもグローバリスム的な物は否定しない人達多いですね,,,0,0,51,142
1.33294E+18,boosca2016,2020/11/29 6:31,安倍・菅政権は民主主義を完全否定。戦前の帝国主義は国家利益を追求したが、彼らは自己利益追求。戦前より酷い状態だ。菅政権、国会軽視も継承　「桜」夕食会補填疑惑、事実と異なる安倍氏の答弁33回判明　首相は再調査を拒否(北海道新聞)#Yahooニュースhttps://t.co/LGeA634aNu,,,12,0,973,1002
